level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,10250,10250,Bolachas Cracker e Água e Sal,bolachas-cracker-e-agua-e-sal,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-cracker-e-agua-e-sal/10250,,,123,28
3,False,10252,10252,Bolachas Fibra e sem Açúcar,bolachas-fibra-e-sem-acucar,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-fibra-e-sem-acucar/10252,,,124,40
3,False,10259,10259,"Bolos, Napolitanas e Pães de Leite",bolos-napolitanas-e-paes-de-leite,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolos-napolitanas-e-paes-de-leite/10259,,,125,40
3,False,11750,11750,Bolachas Sortidas,bolachas-sortidas,/shelves/mercearia/bolachas-biscoitos-e-bolos/bolachas-sortidas/11750,,,126,7
3,False,11816,11816,Tortitas Arroz e Milho,tortitas-arroz-e-milho,/shelves/mercearia/bolachas-biscoitos-e-bolos/tortitas-arroz-e-milho/11816,,,127,15
3,False,10306,10306,Chocolates de Leite,chocolates-de-leite,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolates-de-leite/10306,,,128,40
3,False,10746,10746,Chocolates Negros,chocolates-negros,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolates-negros/10746,,,129,20
3,False,10747,10747,Chocolates Brancos,chocolates-brancos,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolates-brancos/10747,,,130,11
3,False,10751,10751,Chocolate com Avelã e Amêndoa,chocolate-com-avela-e-amendoa,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolate-com-avela-e-amendoa/10751,,,131,23
3,False,10304,10304,Bombons,bombons,/shelves/mercearia/chocolate-gomas-e-rebucados/bombons/10304,,,132,5
3,False,10308,10308,Chocolates Mini e Drageias,chocolates-mini-e-drageias,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolates-mini-e-drageias/10308,,,133,18
3,False,10307,10307,Chocolate com Recheios de Fruta,chocolate-com-recheios-de-fruta,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolate-com-recheios-de-fruta/10307,,,134,6
3,False,10305,10305,Chocolate Infantil,chocolate-infantil,/shelves/mercearia/chocolate-gomas-e-rebucados/chocolate-infantil/10305,,,135,14
3,False,11748,11748,Gomas e Rebuçados,gomas-e-rebucados,/shelves/mercearia/chocolate-gomas-e-rebucados/gomas-e-rebucados/11748,,,136,40
3,False,11749,11749,Pastilhas Elásticas,pastilhas-elasticas,/shelves/mercearia/chocolate-gomas-e-rebucados/pastilhas-elasticas/11749,,,137,40
3,False,11727,11727,Azeitonas e Tremoços,azeitonas-e-tremocos,/shelves/mercearia/conservas/azeitonas-e-tremocos/11727,,,138,18
3,False,11728,11728,"Cogumelos, Milho e Ervilhas",cogumelos-milho-e-ervilhas,/shelves/mercearia/conservas/cogumelos-milho-e-ervilhas/11728,,,139,21
3,False,11729,11729,Feijão e Grão,feijao-e-grao,/shelves/mercearia/conservas/feijao-e-grao/11729,,,140,39
3,False,11730,11730,Peixe,peixe,/shelves/mercearia/conservas/peixe/11730,,,141,40
3,False,11731,11731,Salsichas,salsichas,/shelves/mercearia/conservas/salsichas/11731,,,142,33
3,False,11732,11732,Patê,pate,/shelves/mercearia/conservas/pate/11732,,,143,20
3,False,11733,11733,Pickles e Outros Vegetais,pickles-e-outros-vegetais,/shelves/mercearia/conservas/pickles-e-outros-vegetais/11733,,,144,22
3,False,10245,10245,Refeições prontas,refeicoes-prontas,/shelves/mercearia/sopas-e-refeicoes/refeicoes-prontas/10245,,,145,15
3,False,10246,10246,Sopas e Cremes,sopas-e-cremes,/shelves/mercearia/sopas-e-refeicoes/sopas-e-cremes/10246,,,146,14
3,False,11746,11746,"Noodles, Pastas e Especialidades",noodles-pastas-e-especialidades,/shelves/mercearia/sopas-e-refeicoes/noodles-pastas-e-especialidades/11746,,,147,13
