identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
9315,5603722509544,1000.0,Mimosa,"Leite 0% lactose magro, de 1l",,1.14,1.14,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0350D0DE44A653A9AB01722B06443E94.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC5219EC1E15E09529E323B7D196FADA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC48BFFA4281D8016E9FB40168ED4485.jpg,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1039,5601045300008,1500.0,Antartica,"Refrigerante com gás guaraná, garrafa de 1,5 l",,1.79,1.19,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/649D7CD5951BC9EA2CEFF9A7816AFF2E.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
10826,2895082000000,250.0,Ilha Azul,Queijo Curado,Vendido ao peso a partir de 250 gr,2.0,7.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3B62E6B6007870C37C76A52222AF902D.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1131,5601078005024,750.0,Grao Vasco,"Vinho doc dão branco, garrafa de 750 ml",,3.35,4.47,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08D876911D136C69F8C23B36643D6D00.jpg,,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.8375,13,1
11503,5601050019100,600.0,Danone,"Danacol frutos exóticos, embalagem de 6 x 100 g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A16EAD58E7A10ECD338C77C33D25273.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
11982,5603802400020,750.0,Fiuza,"Vinho branco tejo sauvignon, garrafa de 750 ml",,4.99,6.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/996291488226B375A67E39537E454FD9.jpg,,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,1.2475,13,1
12213,5608527000593,750.0,Dom Campos,Vinho Tinto Regional Península de Setúbal,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6AD742D6C0AA52D14F3A33DA354DAF8.jpg,,,,,2025-03-02T23:59:59.999999999Z,AC,25.0,PCT,STANDARD,2025-02-27T00:00:00Z,99.0,0.7475,13,1
1226,5601146001507,1500.0,Joi,"Refrigerante sem gás de manga/laranja, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB9CD865FA14B43795929B354A61BA32.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
12521,8712100417474,459.0,HellmannS,"Maionese magra em frasco, embalagem de 460g",,3.14,6.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C1DD6B5B9088F59B88BFAE0821ECAF.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5EE500879C9469898FD1466D95386BB7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5EE500879C9469898FD1466D95386BB7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5EE500879C9469898FD1466D95386BB7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5EE500879C9469898FD1466D95386BB7.jpg,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1274,5601151070758,410.0,Compal,"Feijão manteiga, lata de 410 ml",,1.09,2.66,410,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F168BC675838A1B24B473123F714EAB2.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
1285,5601151160060,410.0,Compal,"Ervilhas, lata com 410 ml",,1.09,2.66,410,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A637F1F1A9D6D5D73CF74D3CBF9A0F4.jpg,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,,,,13,1
