identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page
36752,3574661487694,,Carefree,Pensos diários maxi,Embalagem com 64 unidades,3.74,3.74,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B85837116B789330B5F8E53F110D78D5.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
36805,8001090638984,300.0,Pantene,Champô 3 em 1 repara e protege,Embalagem de 300 ml,3.94,13.13,300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D21F4EB30D7E6808FB61B14709EC0A8C.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
36863,7613037564426,,Starbucks,"Café caramelo macchiato by dolce gusto, 12 cápsulas",,4.39,4.39,12,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/068BF027A92B09B37E4171CB0F34C12C.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
37046,5601217132666,500.0,Cillitbang,"Spray calcário e sujidade, garrafa de 500 ml",,2.49,4.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0B3643C0021BC8837B6653E8203F1AB4.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,5
37512,7613036923361,250.0,Nestum,Nestum zero arroz,Embalagem de 250 g,2.99,11.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/611B100659AC37EDE48D259974C3AB31.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,6
37551,5601050035889,600.0,Danone,"Iogurte liquido de noz, embalagem de 6 x 100g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A8847CB088D81E81AFB1BB335F50C28.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,6
37564,7622210937223,165.0,Milka,Bombons I Love Milka,Embalagem de 165 g,4.49,27.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B7A5D9162ECEF74C32349BA8D7ACC33.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,6
37628,2776283000000,400.0,PorSi,4 Costeletas pé de Borrego,Embalagem ± 400 g,9.18,22.95,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0A67E8492FBBC1337BFF4517F99BA82.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,6
39046,5604321012077,13.0,Cemporcento,"Chá infusão nº2 noites tranquilas, embalagem de 13g",,0.69,53.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/41D4FBC09648ED015ED34B926F71D7A3.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,6
39058,5604321021178,13.0,Cemporcento,"Chá infusão boldo, embalagem de 13g",,0.69,53.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CD2D526F793E61823C91356A9CF28CA.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,6
39415,5604321023035,13.0,Cemporcento,"Chá infusão quebra pedras, embalagem de 13g",,0.64,49.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/400D6CC5E3887DD138D307A2AE9B2389.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,6
